Unnamed: 0,Path,Canonical,Transcript,Error_GT
0,L2_arctic_WAV/BWC_arctic_a0003,"[54, 40, 50, 63, 8, 3, 36, 52, 55, 3, 49, 24, 22, 3, 56, 68, 63, 64, 3, 49, 39, 55, 24, 10, 63, 8, 3, 6, 68, 52, 55, 9, 31, 28, 67, 64, 55, 70]","[54, 40, 58, 8, 3, 36, 52, 55, 3, 49, 3, 56, 68, 3, 64, 3, 49, 39, 55, 24, 10, 58, 8, 3, 6, 68, 52, 55, 9, 31, 28, 67, 64, 55, 46]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1,L2_arctic_WAV/BWC_arctic_a0005,"[36, 24, 30, 36, 49, 52, 39, 7, 54, 7, 59, 52, 3, 24, 3]","[36, 24, 30, 36, 49, 52, 39, 7, 54, 8, 59, 64, 63, 24, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
2,L2_arctic_WAV/BWC_arctic_a0006,"[59, 17, 58, 37, 30, 52, 46, 56, 67, 14, 48, 56, 36, 24, 30, 59, 14, 17, 55, 46, 49, 24, 10, 63, 52, 68, 54, 7, 52, 39, 7]","[59, 40, 37, 30, 52, 46, 58, 52, 68, 56, 67, 14, 48, 56, 36, 24, 59, 14, 17, 10, 46, 49, 24, 10, 58, 52, 68, 54, 36, 52, 39, 7]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
3,L2_arctic_WAV/BWC_arctic_a0007,"[64, 55, 58, 29, 6, 40, 30, 36, 49, 70, 36, 40, 55, 3, 3, 6, 46, 49, 24, 3, 24, 55, 63, 8, 46, 31, 48, 7, 30, 8, 3, 24, 39, 58, 24, 59, 50, 49]","[64, 55, 58, 29, 6, 40, 30, 36, 49, 46, 36, 40, 55, 3, 6, 46, 49, 24, 3, 24, 55, 58, 8, 46, 29, 31, 48, 7, 30, 8, 3, 24, 39, 58, 24, 59, 50, 49]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,L2_arctic_WAV/BWC_arctic_a0008,"[59, 64, 58, 29, 40, 50, 30, 52, 3, 7, 28, 60, 68, 69, 8, 46, 3, 24, 55, 3, 56, 68]","[59, 17, 58, 29, 40, 50, 30, 52, 3, 67, 7, 28, 52, 68, 35, 8, 46, 24, 55, 3, 56, 68]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
5,L2_arctic_WAV/BWC_arctic_a0011,"[24, 54, 56, 52, 39, 7, 55, 49, 58, 24, 58, 8, 54, 56, 3, 7, 24, 55, 68, 56, 30, 56, 54, 56, 55, 49, 58, 36, 8, 55, 55, 15]","[24, 54, 17, 52, 39, 7, 55, 49, 58, 24, 8, 54, 56, 3, 7, 24, 55, 68, 17, 30, 56, 54, 56, 55, 49, 36, 8, 55, 55, 15]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
6,L2_arctic_WAV/BWC_arctic_a0013,"[67, 49, 36, 8, 70, 8, 67, 52, 58, 9, 40, 50, 3, 7, 63, 64, 55, 67, 24, 70, 28, 8, 68, 48, 64, 55, 29, 8, 55, 8, 39, 40, 30, 68, 14, 46, 3, 58, 52, 30, 8, 28, 8, 3, 54, 8, 70, 49, 28]","[67, 49, 36, 8, 46, 8, 67, 64, 9, 40, 3, 7, 3, 64, 67, 24, 46, 28, 8, 68, 48, 64, 55, 29, 8, 8, 54, 40, 30, 68, 40, 46, 58, 64, 30, 8, 28, 52, 3, 54, 24, 70, 24, 28]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
7,L2_arctic_WAV/BWC_arctic_a0018,"[63, 52, 50, 36, 40, 70, 8, 35, 60, 55, 69, 55, 15]","[58, 52, 36, 40, 46, 8, 35, 52, 55, 35, 55, 15]","[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
8,L2_arctic_WAV/BWC_arctic_a0019,"[56, 54, 17, 30, 14, 58, 63, 8, 30, 56, 55, 8, 39, 63, 8, 48, 50, 8, 48, 14, 70, 58, 50, 60, 30, 50, 14, 58, 30, 31, 28, 24, 10, 54, 40, 50, 35, 64, 55, 46, 8, 70]","[56, 54, 40, 30, 40, 58, 58, 8, 30, 56, 55, 8, 54, 58, 8, 48, 50, 17, 48, 7, 46, 50, 49, 30, 50, 14, 30, 31, 28, 24, 10, 54, 40, 35, 64, 55, 46]","[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
9,L2_arctic_WAV/BWC_arctic_a0020,"[28, 30, 8, 37, 70, 64, 55, 58, 37, 40, 30, 70, 8, 55, 58, 46, 24, 3, 49, 70, 59, 50, 6, 3, 6, 37, 49, 14, 55, 30, 49, 68, 52, 68, 7, 49, 70]","[28, 30, 8, 54, 46, 64, 55, 37, 40, 30, 46, 8, 55, 46, 24, 3, 49, 46, 59, 50, 6, 3, 6, 37, 49, 14, 55, 30, 49, 68, 64, 68, 7, 49, 46]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
